Account,date,sentiment_bucket,classification,daily_pnl,n_trades,n_wins,avg_trade_size_usd,total_volume_usd,n_long,win_rate,n_short,long_short_ratio,is_profitable_day
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-27,Greed,Greed,666.6623079999999,4,3,22666.1025,90664.41,3,0.75,1,3.0,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-28,Greed,Greed,0.0,9,0,13332.702222222222,119994.32,0,0.0,9,0.0,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-29,Greed,Greed,0.0,37,0,16285.80864864865,602574.92,0,0.0,37,0.0,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-31,Greed,Extreme Greed,765.475192,28,23,30487.215,853642.02,2,0.8214285714285714,26,0.07692307692307693,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-01,Greed,Extreme Greed,1040.5747959999999,9,2,25670.122222222224,231031.1,9,0.2222222222222222,0,,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-02,Greed,Greed,0.0,2,0,20000.0,40000.0,2,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-03,Greed,Greed,0.0,4,0,27498.585,109994.34,4,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-04,Greed,Greed,2259.351364,26,13,16623.486153846156,432210.64,26,0.5,0,,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-05,Greed,Greed,678.4759280000001,10,5,20062.723,200627.23,10,0.5,0,,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-06,Greed,Greed,2821.24842,12,7,10158.865,121906.38,12,0.5833333333333334,0,,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-07,Greed,Extreme Greed,628.96246,2,1,30314.425,60628.85,2,0.5,0,,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-08,Greed,Extreme Greed,646.3734049999999,24,6,10026.734583333333,240641.63,24,0.25,0,,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-09,Greed,Extreme Greed,0.0,9,0,16666.712222222224,150000.41,9,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-10,Greed,Extreme Greed,548.36595,8,6,22568.36875,180546.95,8,0.75,0,,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-11,Greed,Extreme Greed,1479.677222,20,9,16571.107,331422.14,20,0.45,0,,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-12,Greed,Extreme Greed,2053.119744,74,12,14354.293783783784,1062217.74,74,0.16216216216216217,0,,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-13,Greed,Extreme Greed,7680.907897,25,16,19512.4728,487811.82,25,0.64,0,,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-14,Greed,Extreme Greed,2348.106228,41,14,21522.69975609756,882430.6900000001,41,0.34146341463414637,0,,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-15,Greed,Extreme Greed,2003.536586,79,33,17219.896202531647,1360371.8,48,0.4177215189873418,31,1.5483870967741935,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-16,Greed,Extreme Greed,255.14686999999998,12,7,18322.8475,219874.16999999998,6,0.5833333333333334,6,1.0,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-17,Greed,Extreme Greed,546.624374,26,8,23861.476153846153,620398.38,24,0.3076923076923077,2,12.0,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-18,Greed,Extreme Greed,3158.176614,35,15,26917.316857142858,942106.09,34,0.42857142857142855,1,34.0,True
